Date (date),State Name (state_name),District Name (district_name),Station Name (station_name),Latitude (latitude),Longitude (longitude),currentlevel,level_diff
2019-04-07,Kerala,Ernakulam,ThattekadR-1,10.13194,76.66611,2.04,-1.82
2015-05-14,Jammu And Kashmir,Jammu,Chowkichora,33.03056,74.65,0.95,-1.15
2015-05-14,Andhra Pradesh,Srikakulam,Meliaputti,18.77083,84.18333,5.32,3.27
2016-11-04,Punjab,Moga,Tota Singh Wala-Pz,30.86333,75.17917,10.49,1.18
2016-11-06,Odisha,Nuapada,Darlimunda,20.82306,82.63167,2.31,0.46
2016-04-06,Tamil Nadu,Tiruppur,Dharapuram2,10.73889,77.52917,4.3,0.48
2018-06-01,Tamil Nadu,Cuddalore,Kurinjipadi,11.5625,79.59167,1.87,-2.54
2016-05-14,Maharashtra,Amravati,Mahuli,20.73333,77.76667,6.45,2.6
2013-11-06,Odisha,Kendujhar,Katalaposhi,21.39667,85.43306,2.36,1.06
2014-01-06,Odisha,Koraput,Miriguda,19.14611,82.40028,5.45,4.75
2018-04-04,Assam,Dhemaji,Bhagaban charali,27.5,94.54444,9.53,7.03
2019-09-10,Assam,Dhemaji,Bhagaban charali,27.5,94.54444,2.5,-4.18
2013-05-14,Karnataka,Raichur,Bagalwad,16.05,76.89167,4.85,1.8
2015-04-15,Tamil Nadu,Thoothukkudi,Karisalkulam,9.15,78.16667,10.96,-1.49
2018-01-09,Gujarat,Surendranagar,Sukhpar1,23.00833,71.28333,2.47,0.02
2016-05-14,Maharashtra,Hingoli,Jambharun-Rodge,19.77083,76.95694,8.9,-2.0
2019-04-30,Karnataka,Dharwad,Annigeri (A),15.43333,75.43333,9.7,0.2
2018-10-19,Haryana,Jhajjar,Jharli,28.50278,76.38056,10.19,-0.95
2016-11-04,Maharashtra,Yavatmal,Madkona,20.4,78.2,8.8,3.8
2014-08-24,Karnataka,Dharwad,Dharwad A,15.47,75.02111,8.61,1.82
2015-08-24,Rajasthan,Bhilwara,BADNOR,25.83333,74.28333,1.08,-0.9
2015-08-26,Odisha,Dhenkanal,Batgaon,20.99583,85.5875,2.06,-3.38
2017-11-04,Rajasthan,Ganganagar,HARISINGHPURA,29.12917,73.7875,18.66,0.14
